"X1.1","X1.2","X1.3","X1a.1","X1a.2","X1a.3","X1b.1","X1b.2","X1b.3","X2.1","X2.2","X2.3","X2a.1","X2a.2","X2a.3","X2b.1","X2b.2","X2b.3","NoAct.1","NoAct.2","NoAct.3"
-0.0877059823604985,-0.0877085232968756,-0.0994263724725456,-0.0877059823604985,-0.0877059823604985,-0.0994254596666462,-0.0907925990445921,-0.0882451826849674,-0.100606418709483,-0.130875378009783,-0.0877143065297063,-0.0994948503111119,-0.0877059823604985,-0.0877059823604985,-0.100124404160361,-0.0877059823604985,-0.0917716464571732,-0.102994139327035,-0.0877059823604985,-0.0877059823604985,-0.0994128469558412
-0.088390932915547,-0.0883890072831988,-0.0960692144897154,-0.088390932915547,-0.088390932915547,-0.0960688597448128,-0.0905676795881517,-0.0884450777922198,-0.0969194296725908,-0.117558728308428,-0.0883846244928461,-0.0961170351193242,-0.088390932915547,-0.088390932915547,-0.09653376694785,-0.088390932915547,-0.0908405124442153,-0.0986605056764597,-0.088390932915547,-0.088390932915547,-0.0960621824526192
-0.0891132009928724,-0.0891067729581401,-0.0944139731808194,-0.0891132009928724,-0.0891132009928724,-0.0944143206264704,-0.0905670170196876,-0.0886987624670289,-0.0949954133595627,-0.107734112190454,-0.0890921427806068,-0.0944532436562178,-0.0891132009928724,-0.0891132009928724,-0.094742974647999,-0.0891132009928724,-0.0904451451544428,-0.0961672750913348,-0.0891132009928724,-0.0891132009928724,-0.0944136882416422
-0.0898759219044918,-0.089866939564812,-0.0932969913868351,-0.0898759219044918,-0.0898759219044918,-0.0932977762103547,-0.0907275863046611,-0.0891765484505096,-0.0936474605697929,-0.102482612672753,-0.0898464963169805,-0.0933281389969766,-0.0898759219044918,-0.0898759219044918,-0.0935160395188975,-0.0898759219044918,-0.0901831880262344,0.0521310099342903,-0.0898759219044918,-0.0898759219044918,-0.0933011413832221
-0.0890567965906561,-0.0906708792366287,-0.0925017396447959,-0.0906825923338253,-0.0906825923338253,-0.0925030066876983,0.0227105021317965,-0.0897031530060695,-0.0926941152182451,-0.0940044184612873,-0.090644221857758,-0.0925269807151895,-0.0906825923338253,-0.0906825923338253,-0.0926272347192469,-0.0850777895537436,-0.0903036412416871,-0.133844160755814,-0.0906825923338253,-0.0906825923338253,-0.0925105297258525
-0.0919275369877621,-0.0915247057316258,-0.0922747364590724,-0.0915371239482533,-0.0915371239482533,-0.0922762613212007,-0.122483064575169,-0.0904582362882605,-0.0923172972675346,-0.0985293027435198,-0.0914964447161108,-0.0922952713823103,-0.0915371239482533,-0.0915371239482533,-0.0923360466783142,-0.0928886396392144,-0.0904726827348127,-0.120054210200541,-0.0915371239482533,-0.0915371239482533,-0.0922861432897497
-0.0926985316419654,-0.0924307178654692,-0.0921596023585912,-0.0924439068489611,-0.0924439068489611,-0.0921614172695691,-0.11293186472223,-0.091272962899365,-0.0921021224820915,-0.0970572217473415,-0.0924007040200234,-0.0921761504696546,-0.0924439068489611,-0.0924439068489611,-0.0921605937369264,-0.0933260568730665,-0.0909777752382566,-0.109674193027166,-0.0924439068489611,-0.0924439068489611,-0.0921738462383045
-0.0935662761918354,-0.0933938512226371,-0.0924699358408423,-0.0934078850305608,-0.0934078850305608,-0.0924717857107322,-0.106051725471365,-0.0921381807224517,-0.0923084128547371,-0.0960602695350053,-0.0933619162548825,-0.0924823899263216,-0.0934078850305608,-0.0934078850305608,-0.0924308152774063,-0.0939569121575315,-0.0915120350518554,-0.103958605588581,-0.0934078850305608,-0.0934078850305608,-0.0924848110713151
-0.0945398240236442,-0.0944196840977876,-0.0928263979616765,-0.09443464658919,-0.09443464658919,-0.0928282884407326,-0.102628338128934,-0.0930700626210677,-0.092603502968292,-0.0957719373915795,-0.0943856374589776,-0.092834714743722,-0.09443464658919,-0.09443464658919,-0.0927463126828937,-0.0947993389065209,-0.0924028955824706,-0.100020586087796,-0.09443464658919,-0.09443464658919,-0.092841956567761
-0.0955983210719509,-0.0937826204466236,-0.093510601389967,-0.0955305321556553,-0.0955305321556553,-0.0935125749982935,-0.100482112607782,0.0251197417339418,-0.0932228796704754,-0.095664445698606,-0.0898451250550073,-0.0935169896737697,-0.0955305321556553,-0.0955305321556553,-0.0934061423763853,-0.0957656336655286,-0.0876321344784586,-0.0981520259897062,-0.0955305321556553,-0.0955305321556553,-0.0935270298746976
