"RIGHT","LEFT","SCUTE.REMOVED","PIT.TAG/CWT/FLOY","STOCKING.LOCATION","HATCHERY","FEMALE","MALE","STOCK.DATE","SPAWN.DATE","YEAR.CLASS","NUMBERS.STOCKED","AGE.AT.STOCKING","YEARLING.EQUIVALENTS","RPMA"
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","4443240458","431565767B",2008-04-18,2007-06-29,2007,20,"Yearling",20,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","7F7FD66963","115525534A",2008-04-18,2007-07-03,2007,36,"Yearling",36,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","47151A3D3A","115669294A",2008-04-18,2007-07-03,2007,26,"Yearling",26,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","7F7FD66963","1F477B4E51",2008-04-18,2007-07-03,2007,29,"Yearling",29,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","47151A3D3A","1F4A363031",2008-04-18,2007-07-03,2007,27,"Yearling",27,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","7F7FD66963","220E5F4928",2008-04-18,2007-07-03,2007,19,"Yearling",19,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","47151A3D3A","7F7D372A6B",2008-04-18,2007-07-03,2007,19,"Yearling",19,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","40636B2945","4.4400000000000004E+40",2008-04-18,2007-07-05,2007,19,"Yearling",19,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","40636B2945","115712453A",2008-04-18,2007-07-05,2007,24,"Yearling",24,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","47037F460C","1F4A5A5A63",2008-04-18,2007-07-05,2007,32,"Yearling",32,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","47037F460C","7F7F066471",2008-04-18,2007-07-05,2007,20,"Yearling",20,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","454B380D60","2204583665",2008-04-18,2007-07-06,2007,31,"Yearling",31,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","454B380D60","132114552A",2008-04-18,2007-07-06,2007,9,"Yearling",9,2
NA,NA,"3rd Left","PIT Tag","Wolf Point","Gavins Point","7F7B025D51","1F5001721E",2008-05-07,2007-06-26,2007,53,"Yearling",53,2
NA,NA,"3rd Left","PIT Tag","Wolf Point","Gavins Point","115553544A","1F47652015",2008-05-07,2007-06-27,2007,11,"Yearling",11,2
NA,NA,"3rd Left","PIT Tag","Wolf Point","Gavins Point","470378405D","1F4B26036D",2008-05-07,2007-06-27,2007,56,"Yearling",56,2
NA,NA,"3rd Left","PIT Tag","Wolf Point","Gavins Point","7F7FD66963","115525534A",2008-05-07,2007-07-03,2007,45,"Yearling",45,2
NA,NA,"3rd Left","PIT Tag","Wolf Point","Gavins Point","47037F460C","7F7F066471",2008-05-07,2007-07-05,2007,101,"Yearling",101,2
NA,NA,"3rd Left","PIT Tag","Wolf Point","Gavins Point","454B380D60","132114552A",2008-05-07,2007-07-06,2007,50,"Yearling",50,2
NA,NA,"4th Left","PIT Tag","Culbertson","Garrison","Mix","Mix",2008-07-17,2007-06-27,2007,151,"Yearling",151,2
NA,NA,"4th Left","PIT Tag","Fallon","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,247,"Yearling",247,2
NA,NA,"4th Left","PIT Tag","Fallon","Miles City","Mix","Mix",2008-07-31,2007-06-27,2007,404,"Yearling",404,2
NA,NA,"4th Left","PIT Tag","Forsyth","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,256,"Yearling",256,2
NA,NA,"4th Left","PIT Tag","Forsyth","Miles City","Mix","Mix",2008-07-31,2007-06-27,2007,412,"Yearling",412,2
NA,NA,"4th Left","PIT Tag","Intake","Garrison","Mix","Mix",2008-07-30,2007-06-27,2007,460,"Yearling",460,2
NA,NA,"4th Left","PIT Tag","Intake","Miles City","Mix","Mix",2008-07-31,2007-06-27,2007,685,"Yearling",685,2
NA,NA,"4th Left","PIT Tag","School Trust Ramp","Garrison","Mix","Mix",2008-07-17,2007-06-27,2007,135,"Yearling",135,2
NA,NA,"4th Left","PIT Tag","Wolf Point","Garrison","Mix","Mix",2008-07-17,2007-06-27,2007,152,"Yearling",152,2
NA,NA,"4th Left","PIT Tag/Radio","Culbertson","Garrison","Mix","Mix",2008-07-17,2007-06-27,2007,50,"Yearling",50,2
