"Date","No.Act","Alt1","Alt.1a","Alt.1b","Alt.2","Alt.2a","Alt.2b"
1930-09-05,9900,9900,9900,7400,9900,9900,5500
1930-09-06,9900,9900,9900,7400,9900,9900,5500
1930-09-07,9900,9900,9900,7400,9900,9900,5500
1930-09-08,9900,9900,9900,7400,9900,9900,5500
1930-09-09,9900,9900,9900,7400,9900,9900,5500
1930-09-10,9900,9900,9900,7400,9900,9900,5500
1930-09-11,9900,9900,9900,7400,9900,9900,5500
1930-09-12,9900,9900,9900,7400,9900,9900,5500
1930-09-13,9900,9900,9900,7400,9900,9900,5500
1930-09-14,6900,6900,6900,6100,6900,6900,4800
1930-09-15,6700,6700,6700,6100,6700,6700,4800
1930-09-16,6700,6700,6700,6100,6700,6700,4800
1930-09-17,6700,6700,6700,6100,6700,6700,4800
1930-09-18,6700,6700,6700,6100,6700,6700,4800
1930-09-19,6700,6700,6700,6100,6700,6700,4800
1930-09-20,6700,6700,6700,6100,6700,6700,4800
1930-09-21,6700,6700,6700,6100,6700,6700,4800
1930-09-22,6700,6700,6700,6100,6700,6700,4800
1930-09-23,6700,6700,6700,6100,6700,6700,4800
1930-09-24,6700,6700,6700,6100,6700,6700,4800
1930-09-25,6700,6700,6700,6100,6700,6700,4800
1930-09-26,6700,6700,6700,6100,6700,6700,4800
1930-09-27,6700,6700,6700,6100,6700,6700,4800
1930-09-28,6700,6700,6700,6100,6700,6700,4800
1930-09-29,6700,6700,6700,6100,6700,6700,4800
1930-09-30,5900,5900,5900,5300,5900,5900,4300
1930-10-01,5900,5900,5900,5300,5900,5900,4300
1930-10-02,5900,5900,5900,5300,5900,5900,4300
1930-10-03,5900,5900,5900,5300,5900,5900,4300
1930-10-04,5900,5900,5900,5300,5900,5900,4300
1930-10-05,5900,5900,5900,5300,5900,5900,5000
1930-10-06,5900,5900,5900,5300,5900,5900,4300
1930-10-07,5900,5900,5900,5300,5900,5900,4300
1930-10-08,5900,5900,5900,5300,5900,5900,4300
1930-10-09,5900,5900,5900,5300,5900,5900,4300
1930-10-10,5900,5900,5900,5300,5900,5900,4300
1930-10-11,5900,5900,5900,5300,5900,5900,4300
1930-10-12,5900,5900,5900,5300,5900,5900,4300
1930-10-13,5900,5900,5900,5300,5900,5900,4300
1930-10-14,5800,5800,5800,5200,5800,5800,4300
1930-10-15,5800,5800,5800,5200,5800,5800,4300
1930-10-16,5800,5800,5800,5200,5800,5800,4300
1930-10-17,5800,5800,5800,5200,5800,5800,4300
1930-10-18,5800,5800,5800,5200,5800,5800,4300
1930-10-19,5800,5800,5800,5200,5800,5800,4300
1930-10-20,5800,5800,5800,5200,5800,5800,4300
1930-10-21,5800,5800,5800,5200,5800,5800,4300
1930-10-22,5800,5800,5800,5200,5800,5800,4300
1930-10-23,5800,5800,5800,5200,5800,5800,4300
1930-10-24,5800,5800,5800,5200,5800,5800,4300
1930-10-25,5800,5800,5800,5200,5800,5800,4300
1930-10-26,5800,5800,5800,5200,5800,5800,4300
1930-10-27,5800,5800,5800,5200,5800,5800,4300
1930-10-28,5800,5800,5800,5200,5800,5800,4300
1930-10-29,5800,5800,5800,5200,5800,5800,4300
1930-10-30,5800,5800,5800,5200,5800,5800,4300
1930-10-31,5900,5900,5900,5300,5900,5900,4300
1930-11-01,5900,5900,5900,5300,5900,5900,4300
1930-11-02,5900,5900,5900,5300,5900,5900,4300
1930-11-03,5900,5900,5900,5300,5900,5900,4300
1930-11-04,5900,5900,5900,5300,5900,5900,4300
1930-11-05,5900,5900,5900,5300,5900,5900,4300
1930-11-06,5900,5900,5900,5300,5900,5900,4300
1930-11-07,5900,5900,5900,5300,5900,5900,4300
