"Alt","Year","Hatch_Date","New_0.9","New_1","Old_0.9","Old_1"
"1a",2011,2011-07-02,0.00389456854029777,0.000731141691814308,NA,NA
"1a",2011,2011-07-03,0.00599111711442569,0.00110731357176878,NA,NA
"1a",2012,2012-06-21,0.979192264416015,0.735010353669643,0.0817224268705045,NA
"1b",1930,1930-06-17,0.0139652608935536,0.00700257066228624,NA,NA
"1b",1930,1930-06-21,0.0541912305623802,0.021560696049915,NA,NA
"1b",1930,1930-06-24,0.226038213978177,0.0791858317547658,NA,NA
"1b",1949,1949-06-17,0.0955377710227388,0.0259765681770206,NA,NA
"1b",1949,1949-06-21,0.999808778642115,0.982738943521385,0.846851610934255,NA
"1b",1949,1949-06-24,0.999083242617032,0.948320489319343,0.839990494187974,NA
"1b",1966,1966-06-21,0.00310004401446944,0.00186054448585931,NA,NA
"1b",1966,1966-07-02,0.939479564979267,0.634503414236399,0.0180476128307389,NA
"1b",1975,1975-07-02,0.163103958152496,0.0307951087590375,NA,NA
"1b",1975,1975-07-09,0.114958562406901,0.0294926292338647,NA,NA
"1b",1975,1975-07-16,0.329287358775579,0.154750098973662,NA,NA
"1b",1980,1980-06-19,0.0111843924520028,0.00137038363109256,NA,NA
"1b",1980,1980-06-21,0.010915253180862,0.00146779542060581,NA,NA
"1b",1980,1980-06-26,0.0642761906062188,0.00720358167420133,NA,NA
"1b",1983,1983-06-02,0.00188969835390378,0.00107149443263448,NA,NA
"1b",1983,1983-06-21,0.0841569527190358,0.037454922699271,NA,NA
"1b",1983,1983-06-28,0.783673510414517,0.530972429539656,0.475130598031534,NA
"1b",1983,1983-07-02,0.985134538800493,0.905565848646354,0.873527426061647,0.471576960062853
"1b",1985,1985-06-21,0.00158781608877916,0.000947237157423631,NA,NA
"1b",1985,1985-06-25,0.0082679572465415,0.00309328311543116,NA,NA
"1b",1985,1985-06-28,0.307683271918451,0.0846195586287068,NA,NA
"1b",1986,1986-06-07,0.0341842624988103,0.00946495755528466,NA,NA
"1b",1986,1986-06-14,0.999986818076699,0.997724903719915,0.968209521560277,0.642205394189537
"1b",1986,1986-06-17,0.999975575173031,0.996147428342383,0.97698584455498,0.749348124418633
"1b",1987,1987-06-18,0.145552421672867,0.0773897789082954,NA,NA
"1b",1987,1987-06-21,0.373446151196585,0.217519423747937,NA,NA
"1b",1987,1987-06-25,0.56636994651677,0.382631103526889,0.200113285909361,NA
"1b",1994,1994-06-14,0.000729438595447402,0.000333685125905036,NA,NA
"1b",1994,1994-06-21,0.0688041378298815,0.0136851140728429,NA,NA
"1b",1994,1994-06-22,0.0760013687546814,0.0161281049465864,NA,NA
"1b",1997,1997-07-11,0.944344818718905,0.820905915144885,0.656392537595319,0.203964818775699
"1b",1997,1997-07-12,0.941726713231343,0.821045045633416,0.659316859613612,0.222131285507374
"1b",2000,2000-06-14,0.000145229068772922,2.64186672504842e-05,NA,NA
"1b",2000,2000-06-21,0.378409640732499,0.0722388799216841,NA,NA
"1b",2000,2000-06-23,0.627534937706419,0.17343300739606,NA,NA
"1b",2011,2011-06-25,0.000474407558811303,8.35433675179249e-05,NA,NA
"1b",2011,2011-07-02,0.00372249007757803,0.000692486253555081,NA,NA
"1b",2011,2011-07-03,0.00466640209671192,0.000842051350694723,NA,NA
"1b",2012,2012-06-21,0.981423047087955,0.752204832308508,0.182882769946243,NA
"1b",2012,2012-06-23,0.989283158979477,0.795699430655514,NA,NA
"2",1953,1953-06-07,0.00764315599077526,0.000500215252875228,NA,NA
"2",1953,1953-06-14,0.910176108582876,0.610955938315995,NA,NA
"2",1953,1953-06-17,0.991400036893335,0.865677374139702,0.404449153952105,NA
"2",1975,1975-07-02,0.877122082740143,0.527115687501806,NA,NA
"2",1975,1975-07-09,0.316801257162325,0.0860301664376476,NA,NA
"2",1975,1975-07-16,0.636205487087288,0.347300999010263,NA,NA
"2",1976,1976-07-15,0.987556436212875,0.864996099452747,0.407919458945658,NA
