"Year","Weather_Pattern","Flow_Scenario","Standard","Temp_17","Temp_18","Flow_17000","Flow_18000","Overlap_Start","Days_PP_1","Days_PP_5","Overlap_Last_Day"
1980,"Median","Alt1","06-14","Fail","Fail","06-14","06-14","06-14","06-14","06-14","06-17"
1983,"Median","Alt.1b","06-21","06-21","Fail","06-21","06-21","06-15","06-19","06-23","06-23"
1983,"Median","Alt.2","06-15","Fail","Fail","06-15","06-15","06-15","06-15","06-15","06-19"
1983,"Median","Alt.2b","06-18","06-20","Fail","06-18","06-18","06-15","06-16","06-20","06-22"
1983,"Median","Alt1","06-15","06-20","Fail","06-15","06-15","06-15","06-15","06-16","06-21"
1985,"Median","Alt.1b","06-21","06-21","Fail","06-21","06-21","06-15","06-19","06-23","06-25"
1985,"Median","Alt.2","06-15","Fail","Fail","06-15","06-15","06-15","06-15","06-15","06-19"
1985,"Median","Alt.2b","06-18","06-20","06-26","06-18","06-18","06-15","06-16","06-20","06-26"
1985,"Median","Alt1","06-15","06-20","Fail","06-15","06-15","06-15","06-15","06-16","06-22"
1986,"High","Alt.2","06-09","Fail","Fail","06-09","Fail","06-08","06-08","Fail","06-09"
1986,"High","Alt.2b","Fail","Fail","Fail","Fail","Fail","06-08","06-08","Fail","06-08"
1986,"High","Alt1","Fail","Fail","Fail","Fail","Fail","06-08","06-08","Fail","06-09"
1987,"High","Alt.1a","Fail","Fail","Fail","06-08","Fail","Fail","Fail","Fail","Fail"
1987,"High","Alt.1b","06-18","06-18","06-18","06-18","06-18","06-08","06-16","06-20","06-22"
1987,"High","Alt.2","06-10","06-12","06-17","06-10","06-10","06-08","06-08","06-12","06-19"
1987,"High","Alt.2a","06-08","06-12","Fail","06-08","06-08","06-08","06-08","06-08","06-12"
1987,"High","Alt.2b","06-18","06-18","06-18","06-18","06-18","06-08","06-16","06-20","06-25"
1987,"High","Alt1","06-10","06-12","Fail","06-10","06-10","06-08","06-08","06-12","06-15"
1994,"Median","Alt.1b","06-15","Fail","Fail","06-15","06-15","06-15","06-15","06-17","06-17"
1997,"High","Alt.1a","08-03","08-03","08-03","08-03","08-03","06-25","08-01","08-05","12-30"
1997,"High","Alt.1b","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1997,"High","Alt.2","08-03","08-03","08-03","08-03","08-03","06-25","08-01","08-05","12-30"
1997,"High","Alt.2a","08-03","08-03","08-03","08-03","08-03","06-30","08-01","08-05","12-30"
1997,"High","Alt.2b","08-03","08-03","08-03","08-03","08-03","06-25","08-01","08-05","12-30"
1997,"High","Alt1","08-03","08-03","08-03","08-03","08-03","06-25","08-01","08-05","12-30"
1997,"High","No.Act","08-03","08-03","08-03","08-03","08-03","06-25","08-01","08-05","12-30"
2000,"Median","Alt.1b","06-16","Fail","Fail","06-16","06-16","06-14","06-14","Fail","06-17"
2000,"Median","Alt.2b","06-14","Fail","Fail","06-14","06-14","06-14","06-14","06-14","06-15"
2000,"Median","Alt1","06-14","Fail","Fail","06-14","06-14","06-14","06-14","06-14","06-15"
2011,"Low","Alt.1a","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2011,"Low","Alt.1b","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2011,"Low","Alt.2","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2011,"Low","Alt.2a","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2011,"Low","Alt.2b","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2011,"Low","Alt1","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2011,"Low","No.Act","06-26","07-03","07-10","06-26","06-26","06-26","06-26","06-26","12-30"
2012,"Median","Alt1","06-14","Fail","Fail","06-14","06-14","06-14","06-14","Fail","06-14"
