"Year","Flow_Scenario","Max_Flows","Post_Peak_Date","Post_Peak_Flows","Low_Date","Median_Date","High_Date"
1951,"No.Act",NA,NA,NA,NA,NA,NA
1951,"Alt1",NA,NA,NA,NA,NA,NA
1951,"Alt.1a",NA,NA,NA,NA,NA,NA
1951,"Alt.1b",NA,NA,NA,NA,NA,NA
1951,"Alt.2",NA,NA,NA,NA,NA,NA
1951,"Alt.2a",NA,NA,NA,NA,NA,NA
1951,"Alt.2b",NA,NA,NA,NA,NA,NA
1952,"No.Act",NA,NA,NA,NA,NA,NA
1952,"Alt1",NA,NA,NA,NA,NA,NA
1952,"Alt.1a",NA,NA,NA,NA,NA,NA
1952,"Alt.1b",NA,NA,NA,NA,NA,NA
1952,"Alt.2",NA,NA,NA,NA,NA,NA
1952,"Alt.2a",NA,NA,NA,NA,NA,NA
1952,"Alt.2b",NA,NA,NA,NA,NA,NA
1953,"No.Act",22500,"1953-07-28",FALSE,"1953-07-25","1953-07-25","1953-07-25"
1953,"Alt1",17400,"1953-06-10",FALSE,NA,NA,"1953-06-07"
1953,"Alt.1a",17400,"1953-06-04",FALSE,NA,NA,NA
1953,"Alt.1b",NA,NA,NA,NA,NA,NA
1953,"Alt.2",18300,"1953-06-10",FALSE,NA,NA,"1953-06-07"
1953,"Alt.2a",21900,"1953-06-04",FALSE,NA,NA,NA
1953,"Alt.2b",NA,NA,NA,NA,NA,NA
1954,"No.Act",NA,NA,NA,NA,NA,NA
1954,"Alt1",22300,"1954-06-08",TRUE,NA,NA,"1954-06-07"
1954,"Alt.1a",NA,NA,NA,NA,NA,NA
1954,"Alt.1b",21800,"1954-06-15",TRUE,NA,"1954-06-14","1954-06-12"
1954,"Alt.2",19432.462128631,"1954-06-04",TRUE,NA,NA,"1954-06-07"
1954,"Alt.2a",18205.9426232417,"1954-06-04",TRUE,NA,NA,NA
1954,"Alt.2b",19832.0824425174,"1954-06-10",TRUE,NA,"1954-06-14","1954-06-07"
1955,"No.Act",NA,NA,NA,NA,NA,NA
1955,"Alt1",NA,NA,NA,NA,NA,NA
1955,"Alt.1a",NA,NA,NA,NA,NA,NA
1955,"Alt.1b",NA,NA,NA,NA,NA,NA
1955,"Alt.2",NA,NA,NA,NA,NA,NA
1955,"Alt.2a",NA,NA,NA,NA,NA,NA
1955,"Alt.2b",NA,NA,NA,NA,NA,NA
1956,"No.Act",NA,NA,NA,NA,NA,NA
1956,"Alt1",NA,NA,NA,NA,NA,NA
1956,"Alt.1a",NA,NA,NA,NA,NA,NA
1956,"Alt.1b",NA,NA,NA,NA,NA,NA
1956,"Alt.2",NA,NA,NA,NA,NA,NA
1956,"Alt.2a",NA,NA,NA,NA,NA,NA
1956,"Alt.2b",NA,NA,NA,NA,NA,NA
1957,"No.Act",NA,NA,NA,NA,NA,NA
1957,"Alt1",NA,NA,NA,NA,NA,NA
1957,"Alt.1a",NA,NA,NA,NA,NA,NA
1957,"Alt.1b",NA,NA,NA,NA,NA,NA
1957,"Alt.2",NA,NA,NA,NA,NA,NA
1957,"Alt.2a",NA,NA,NA,NA,NA,NA
1957,"Alt.2b",NA,NA,NA,NA,NA,NA
1958,"No.Act",NA,NA,NA,NA,NA,NA
1958,"Alt1",NA,NA,NA,NA,NA,NA
1958,"Alt.1a",NA,NA,NA,NA,NA,NA
1958,"Alt.1b",NA,NA,NA,NA,NA,NA
1958,"Alt.2",NA,NA,NA,NA,NA,NA
1958,"Alt.2a",NA,NA,NA,NA,NA,NA
1958,"Alt.2b",NA,NA,NA,NA,NA,NA
1959,"No.Act",NA,NA,NA,NA,NA,NA
1959,"Alt1",NA,NA,NA,NA,NA,NA
1959,"Alt.1a",NA,NA,NA,NA,NA,NA
1959,"Alt.1b",NA,NA,NA,NA,NA,NA
1959,"Alt.2",NA,NA,NA,NA,NA,NA
1959,"Alt.2a",NA,NA,NA,NA,NA,NA
1959,"Alt.2b",NA,NA,NA,NA,NA,NA
1960,"No.Act",NA,NA,NA,NA,NA,NA
1960,"Alt1",NA,NA,NA,NA,NA,NA
1960,"Alt.1a",NA,NA,NA,NA,NA,NA
1960,"Alt.1b",NA,NA,NA,NA,NA,NA
1960,"Alt.2",NA,NA,NA,NA,NA,NA
1960,"Alt.2a",NA,NA,NA,NA,NA,NA
1960,"Alt.2b",NA,NA,NA,NA,NA,NA
1961,"No.Act",NA,NA,NA,NA,NA,NA
1961,"Alt1",NA,NA,NA,NA,NA,NA
1961,"Alt.1a",NA,NA,NA,NA,NA,NA
1961,"Alt.1b",NA,NA,NA,NA,NA,NA
1961,"Alt.2",NA,NA,NA,NA,NA,NA
1961,"Alt.2a",NA,NA,NA,NA,NA,NA
1961,"Alt.2b",NA,NA,NA,NA,NA,NA
1962,"No.Act",NA,NA,NA,NA,NA,NA
1962,"Alt1",NA,NA,NA,NA,NA,NA
1962,"Alt.1a",NA,NA,NA,NA,NA,NA
1962,"Alt.1b",NA,NA,NA,NA,NA,NA
1962,"Alt.2",NA,NA,NA,NA,NA,NA
1962,"Alt.2a",NA,NA,NA,NA,NA,NA
1962,"Alt.2b",NA,NA,NA,NA,NA,NA
1963,"No.Act",NA,NA,NA,NA,NA,NA
1963,"Alt1",NA,NA,NA,NA,NA,NA
1963,"Alt.1a",NA,NA,NA,NA,NA,NA
1963,"Alt.1b",NA,NA,NA,NA,NA,NA
1963,"Alt.2",NA,NA,NA,NA,NA,NA
1963,"Alt.2a",NA,NA,NA,NA,NA,NA
1963,"Alt.2b",NA,NA,NA,NA,NA,NA
1964,"No.Act",NA,NA,NA,NA,NA,NA
1964,"Alt1",NA,NA,NA,NA,NA,NA
1964,"Alt.1a",NA,NA,NA,NA,NA,NA
1964,"Alt.1b",NA,NA,NA,NA,NA,NA
1964,"Alt.2",NA,NA,NA,NA,NA,NA
1964,"Alt.2a",NA,NA,NA,NA,NA,NA
1964,"Alt.2b",NA,NA,NA,NA,NA,NA
1965,"No.Act",NA,NA,NA,NA,NA,NA
1965,"Alt1",NA,NA,NA,NA,NA,NA
1965,"Alt.1a",NA,NA,NA,NA,NA,NA
1965,"Alt.1b",NA,NA,NA,NA,NA,NA
1965,"Alt.2",NA,NA,NA,NA,NA,NA
1965,"Alt.2a",NA,NA,NA,NA,NA,NA
1965,"Alt.2b",NA,NA,NA,NA,NA,NA
1966,"No.Act",NA,NA,NA,NA,NA,NA
1966,"Alt1",24900,"1966-06-11",TRUE,NA,"1966-06-14","1966-06-08"
1966,"Alt.1a",24600,"1966-06-04",TRUE,NA,NA,"1966-06-07"
1966,"Alt.1b",25500,"1966-06-18",TRUE,NA,"1966-06-15","1966-06-15"
1966,"Alt.2",28400,"1966-06-11",TRUE,NA,"1966-06-14","1966-06-08"
1966,"Alt.2a",28800,"1966-06-04",TRUE,NA,NA,"1966-06-07"
1966,"Alt.2b",29000,"1966-06-18",TRUE,"1966-06-25","1966-06-15","1966-06-15"
1967,"No.Act",NA,NA,NA,NA,NA,NA
1967,"Alt1",22100,"1967-06-10",TRUE,NA,NA,"1967-06-07"
1967,"Alt.1a",17300,"1967-06-04",FALSE,NA,NA,NA
1967,"Alt.1b",NA,NA,NA,NA,NA,NA
1967,"Alt.2",25300,"1967-06-08",FALSE,NA,NA,"1967-06-07"
1967,"Alt.2a",23900,"1967-06-04",TRUE,NA,NA,"1967-06-07"
1967,"Alt.2b",17600,"1967-06-08",FALSE,NA,NA,NA
1968,"No.Act",NA,NA,NA,NA,NA,NA
1968,"Alt1",30900,"1968-06-11",TRUE,NA,NA,"1968-06-08"
1968,"Alt.1a",24800,"1968-06-04",TRUE,NA,NA,"1968-06-07"
1968,"Alt.1b",24300,"1968-06-12",FALSE,NA,NA,"1968-06-09"
1968,"Alt.2",28800,"1968-06-11",TRUE,NA,NA,"1968-06-08"
1968,"Alt.2a",29000,"1968-06-04",TRUE,NA,NA,"1968-06-07"
1968,"Alt.2b",24600,"1968-06-12",FALSE,NA,NA,"1968-06-09"
1969,"No.Act",NA,NA,NA,NA,NA,NA
1969,"Alt1",NA,NA,NA,NA,NA,NA
1969,"Alt.1a",NA,NA,NA,NA,NA,NA
1969,"Alt.1b",NA,NA,NA,NA,NA,NA
1969,"Alt.2",NA,NA,NA,NA,NA,NA
1969,"Alt.2a",NA,NA,NA,NA,NA,NA
1969,"Alt.2b",NA,NA,NA,NA,NA,NA
1970,"No.Act",NA,NA,NA,NA,NA,NA
1970,"Alt1",NA,NA,NA,NA,NA,NA
1970,"Alt.1a",NA,NA,NA,NA,NA,NA
1970,"Alt.1b",NA,NA,NA,NA,NA,NA
1970,"Alt.2",NA,NA,NA,NA,NA,NA
1970,"Alt.2a",NA,NA,NA,NA,NA,NA
1970,"Alt.2b",NA,NA,NA,NA,NA,NA
1971,"No.Act",NA,NA,NA,NA,NA,NA
1971,"Alt1",NA,NA,NA,NA,NA,NA
1971,"Alt.1a",NA,NA,NA,NA,NA,NA
1971,"Alt.1b",NA,NA,NA,NA,NA,NA
1971,"Alt.2",NA,NA,NA,NA,NA,NA
1971,"Alt.2a",NA,NA,NA,NA,NA,NA
1971,"Alt.2b",NA,NA,NA,NA,NA,NA
1972,"No.Act",NA,NA,NA,NA,NA,NA
1972,"Alt1",NA,NA,NA,NA,NA,NA
1972,"Alt.1a",NA,NA,NA,NA,NA,NA
1972,"Alt.1b",NA,NA,NA,NA,NA,NA
1972,"Alt.2",NA,NA,NA,NA,NA,NA
1972,"Alt.2a",NA,NA,NA,NA,NA,NA
1972,"Alt.2b",NA,NA,NA,NA,NA,NA
1973,"No.Act",NA,NA,NA,NA,NA,NA
1973,"Alt1",NA,NA,NA,NA,NA,NA
1973,"Alt.1a",NA,NA,NA,NA,NA,NA
1973,"Alt.1b",NA,NA,NA,NA,NA,NA
1973,"Alt.2",NA,NA,NA,NA,NA,NA
1973,"Alt.2a",NA,NA,NA,NA,NA,NA
1973,"Alt.2b",NA,NA,NA,NA,NA,NA
1974,"No.Act",NA,NA,NA,NA,NA,NA
1974,"Alt1",NA,NA,NA,NA,NA,NA
1974,"Alt.1a",NA,NA,NA,NA,NA,NA
1974,"Alt.1b",NA,NA,NA,NA,NA,NA
1974,"Alt.2",NA,NA,NA,NA,NA,NA
1974,"Alt.2a",21300,"1974-06-05",FALSE,NA,NA,NA
1974,"Alt.2b",NA,NA,NA,NA,NA,NA
1975,"No.Act",37000,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1975,"Alt1",36500,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1975,"Alt.1a",36500,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1975,"Alt.1b",37000,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1975,"Alt.2",37000,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1975,"Alt.2a",36500,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
1975,"Alt.2b",37000,"1975-08-03",NA,"Increasing Flows","Increasing Flows","Increasing Flows"
