"Age","Mean_Eggs_Produced","Median_Eggs_Produced","Max_Eggs_Simulated","Min_Eggs_Simulated","Mean_Length","Median_Length","Proportion_Length_1400plus"
55,91210.501466,61809,1679649,3252,1165.1564765672,1148.12003818421,0.266166
56,92946.630793,62562,1924571,3000,1171.04575869651,1152.8766089807,0.273911
57,94505.625896,63039,1649903,3614,1176.22190360105,1157.93585214149,0.280309
58,96127.087093,63591.5,2076808,3203,1180.94439428695,1161.18468806331,0.286415
59,97736.490281,64206,2547413,3287,1185.80251082554,1165.38500878572,0.292183
60,99232.718725,64657,2173317,3277,1190.54533663607,1168.82145300784,0.297572
61,100676.828379,65114.5,2397226,3595,1194.42542190131,1172.28823688545,0.301985
62,102419.738856,65706,1997098,3602,1199.54247270413,1176.3956678985,0.307589
63,103781.171432,66022.5,2375281,3839,1203.1195056735,1179.33590785653,0.31167
64,105586.555488,66566,2930894,3584,1207.50754938732,1182.2978146766,0.316409
65,106930.179388,66985,2912793,3475,1211.08765453463,1185.30128211265,0.320206
66,108729.416032,67459,2559476,2505,1215.89958893124,1188.61129338469,0.32493
67,110079.510587,67829,3417104,3948,1219.10758086926,1190.51860514166,0.328467
68,111503.002293,68043,2377315,2653,1222.03678817319,1192.11087119147,0.331111
69,113203.530264,68609,2576518,2780,1226.26868876076,1196.22888950166,0.335737
70,114794.387251,69064,2416196,2640,1230.29591974705,1199.54179397317,0.339212
71,116119.263461,69380,3341295,3391,1233.28345033051,1200.91047083904,0.34225
72,117620.982528,69686,3104306,3674,1236.16576365014,1203.28773550644,0.344873
73,119337.04469,70073.5,2747331,3653,1239.69497536335,1205.64035216741,0.34803
74,120777.088513,70305,3052894,3765,1242.68395653068,1206.71585511895,0.350162
75,122235.147796,70574,2823325,3310,1245.21734811218,1208.21776385618,0.352992
76,123873.571273,71010,2898182,3323,1249.01217615594,1211.69814543296,0.356331
77,125282.314922,71164,2761065,3432,1251.6445271613,1212.63967568867,0.358311
78,126455.414943,71438,3150987,2769,1254.06670210286,1213.37625196713,0.35951
79,128260.139311,71793,3247677,3251,1257.64245425831,1216.18637040163,0.362603
80,129450.953117,71992,3165375,3515,1259.65110885314,1217.7056179459,0.364171
81,131197.247862,72322,3165245,3404,1262.91857291812,1219.9521880367,0.366796
82,132913.753387,72657,3546318,3167,1265.63915805427,1221.6243548108,0.368651
83,133891.141736,72698,3590022,3540,1267.01017421556,1221.83211665105,0.369619
84,135338.682047,72891,3497441,3649,1269.66774629041,1223.50769917934,0.371285
85,136729.499056,73030,3400966,3838,1271.5913182296,1224.49486086175,0.372628
86,138238.949882,73415,3581523,2829,1274.87554005017,1226.56581573555,0.37539
87,139271.271482,73472,4204857,2930,1275.93627081723,1226.65589837541,0.37582
88,140749.444498,73868.5,3749356,3645,1279.02813276366,1228.90491658027,0.377583
89,142176.725674,73971,4156931,2828,1280.81895720378,1229.06995056286,0.379152
90,144007.668873,74412,4359898,3476,1283.26722763222,1230.82254991485,0.380886
91,144748.870494,74113,3959955,3679,1284.2710042766,1231.29314712988,0.381247
92,146100.21337,74355,3614637,3221,1285.8998180018,1230.98231343576,0.381527
93,147507.728598,74584.5,5055451,3557,1287.98614660974,1232.77796049688,0.383395
94,149246.614866,74883.5,5054986,2908,1291.0924617553,1234.81156496865,0.385188
95,150364.207375,74902,4384095,3212,1292.05447786804,1234.72689568918,0.385381
96,151740.318094,74886,4683125,3159,1294.09223391537,1235.36710459713,0.386384
97,153130.792523,75137,5558147,3996,1296.06059654859,1237.00781244311,0.387955
98,154242.805023,75376.5,4139998,3595,1297.50702676896,1237.29406730011,0.388655
99,155469.087138,75589,4866289,3474,1299.61807728656,1239.00636658917,0.39048
100,156822.457637,75639,6647446,3561,1301.17066603596,1239.27697310108,0.390457
