"V1","V2","V3","V4","V5"
-0.0708987999263819,-0.0991646884410082,-0.0641023645444066,-0.0625617403739239,-0.781303967756573
-0.0683474477101968,-0.0870536736434803,-0.063280224159539,-0.0623404075719651,-0.130466272729042
-0.0663753928588929,-0.0782934955004415,-0.0627773602760457,-0.0621919759841068,-0.143862356898234
-0.064874529755792,-0.383634516394323,-0.283405569416334,-0.0620973174813517,-0.118939185431129
-0.583334644665171,-0.071352460058954,-0.244676405674085,-0.062030115306922,-0.100575644911374
-0.1021729771351,-0.0642935568841847,-0.0618754037180875,-0.0619743322947693,-0.0897914440111763
-0.0633264017248452,-0.0684397620994694,-0.261874884425339,-0.0619411333894151,-0.0816681885551225
-0.0625862345519887,-0.0662116760436262,-0.0618754037180874,0.0707947284326079,-0.0761133963833668
-0.0622272250077219,-0.685082495255596,-0.0524459905022789,0.0284632031013567,-0.0720929066822149
-0.0618152639354551,-0.0651988452042452,-0.0643258212152441,-0.122473827540557,-0.0686998866985301
0.0374310475453624,-0.0640552182535969,-0.0634614672077513,-0.102578932427931,-0.0665209977302695
-0.0901631389063928,0.0576516719257722,-0.0627952091355284,-0.964476300037252,-0.0645468108303508
-0.0805826989968315,0.0232026025393476,-0.0625659155666156,-0.107344699485833,-0.0634566677144378
-0.0737803255598044,-0.116264022495908,-0.0622608754641991,-0.0946940916434426,-0.0624144587778563
-0.0699771101476392,-0.0982290040417644,-0.062231845568171,-0.0137860419080849,-0.0621421713983433
-0.0673597908300518,-0.0860218241363992,-0.0621285774312154,-0.0978231738618641,-0.0618754037180875
-0.0698626799222175,-0.0784613762967945,-0.0620483082767552,-0.0865998615324109,-0.0618754037180875
-0.0647604465967645,-0.0735371042738985,-0.234345726886063,-0.0782649210430023,-0.0618754037180875
-0.063859875778931,-0.0655820033937588,0.077722620273369,-0.0727845069241653,-0.0618754037180875
-0.0632710676193837,-0.0690896601405189,-0.283314067836085,-0.0688154523834582,-0.0618754037180875
-0.0627623201377061,-0.0896037139603317,-0.182253103339435,-0.0662184969062174,-0.0618754037180875
-0.062448185181285,-0.181333477055027,-0.243832684835701,-0.0644082081473062,-0.0618754037180875
-0.062155821359372,-0.0634483415139555,-0.180000441791079,-0.063267240094383,-0.065213847416619
-0.0619338767775043,-0.0636567915128595,-0.498169030318819,0.0570778424738261,-0.401566002479905
-0.0618961134495332,-0.0628597438041444,-0.139424682391342,-0.0974364901600454,-0.0618754037180874
-0.0618887815513435,-0.0623344016079251,-0.118721568907067,-0.0855370979862549,-0.0618754037180875
-0.0618837875964963,-0.0620509520120798,-0.103420551376671,-0.0769429081492536,0.0766535871807865
-0.348191252471727,-0.0619962407268314,-0.092806309250616,-0.0721235114271943,-0.103689634198138
-0.0618804606487661,-0.276967990592816,-0.0833988342132681,-0.068762871454002,-0.0898458273851521
-0.0618790798716897,-0.061944301682579,-0.076797936970056,-0.0669121961023688,-0.0798115997986345
-0.0618780317851168,-0.0619161033213961,-0.0712516481923315,-0.065491789101252,-0.0741440552898181
-1.46183514474136,-0.0619005874719124,0.00325203857428731,-0.447024240337172,-0.0702095547404962
-0.118485573021093,-0.396974930514072,-0.0948358266020037,-0.0644442249401757,-0.222793843647941
-0.170545029367856,-0.0618851929163858,-0.0756701775701155,-0.0635093978930614,-0.0622004872024042
-0.0618778850598549,-0.0618801942117511,-0.072616508570514,-0.0629313867332862,-0.0670956569382423
0.0443060119260859,0.0861158269125288,-0.0672592137248613,-0.0623925680099384,-0.06546036968511
0.0538363804392768,-0.107164586834528,-0.0655115210402405,-0.957260098829573,-0.06414867372133
-0.122156917833011,-0.0922598357671388,-0.0645270043447529,-0.0791911799089695,-0.063365136195232
-0.109352671229367,-0.12355650373701,-0.0637753352346391,-0.144763282177342,-0.0626915094694495
-0.088946036629474,-0.075827471454623,-0.0631811715075063,-0.119317708267604,-0.0623530321871444
-0.0805247294783735,-0.243926369803475,-0.0627932393170865,-0.0996319624032667,-0.144277712894926
